"","n","gamma","s","ntree","time","MSE"
"1",5000,0.5,1,100,0.310990047454834,266.989279918926
"2",5000,0.5,4,100,0.338672876358032,229.625105089544
"3",5000,0.5,7,100,0.365177249908447,204.318862821993
"4",5000,0.5,10,100,0.3856529712677,188.185225470456
"5",5000,0.5,13,100,0.384190368652344,185.481802546685
"6",5000,0.5,16,100,0.399272298812866,181.297859467716
"7",5000,0.5,1,300,0.8326247215271,398.413239692077
"8",5000,0.5,4,300,0.940778541564941,227.941263374124
"9",5000,0.5,7,300,1.02600359916687,204.969380931417
"10",5000,0.5,10,300,0.971935749053955,185.355173578644
"11",5000,0.5,13,300,0.986820650100708,182.384314980373
"12",5000,0.5,16,300,1.06595697402954,180.305958028416
"13",5000,0.5,1,500,1.39947671890259,281.351366798721
"14",5000,0.5,4,500,1.62652750015259,225.953707094214
"15",5000,0.5,7,500,1.63489198684692,203.305080181847
"16",5000,0.5,10,500,1.57526445388794,185.700686626004
"17",5000,0.5,13,500,1.62221331596375,182.392845335206
"18",5000,0.5,16,500,1.6568555355072,180.76758717208
"19",5000,0.6,1,100,0.658531951904297,65.8931144894086
"20",5000,0.6,4,100,0.773968982696533,51.1206015098594
"21",5000,0.6,7,100,0.811305475234985,48.1344632935353
"22",5000,0.6,10,100,0.83568696975708,46.2438186998457
"23",5000,0.6,13,100,0.905150842666626,45.325889392314
"24",5000,0.6,16,100,0.943459510803223,44.9318043331453
"25",5000,0.6,1,300,1.95001611709595,71.472795997292
"26",5000,0.6,4,300,2.28693451881409,51.3842573067364
"27",5000,0.6,7,300,2.33096446990967,47.1624350130982
"28",5000,0.6,10,300,2.30207781791687,44.6918257365194
"29",5000,0.6,13,300,2.37663445472717,45.3978267628326
"30",5000,0.6,16,300,2.75427045822144,44.6624712307523
"31",5000,0.6,1,500,3.25141887664795,77.6322468215147
"32",5000,0.6,4,500,3.71516089439392,50.0420587017949
"33",5000,0.6,7,500,3.77963118553162,48.1633193267342
"34",5000,0.6,10,500,3.97053108215332,45.2208473436246
"35",5000,0.6,13,500,4.12760844230652,45.2207448686631
"36",5000,0.6,16,500,4.09695076942444,44.8417316814518
"37",5000,0.7,1,100,1.57823061943054,27.5637267259668
"38",5000,0.7,4,100,1.97745447158813,21.0024740202775
"39",5000,0.7,7,100,2.07818880081177,20.0132848578614
"40",5000,0.7,10,100,2.32169690132141,18.8618528051846
"41",5000,0.7,13,100,2.50632858276367,18.0502851618377
"42",5000,0.7,16,100,2.67187309265137,17.6356903773119
"43",5000,0.7,1,300,4.90617551803589,21.1215895752849
"44",5000,0.7,4,300,5.57931275367737,20.08075351085
"45",5000,0.7,7,300,5.5865909576416,19.2485961895715
"46",5000,0.7,10,300,5.90836720466614,18.3987444437139
"47",5000,0.7,13,300,6.2284303188324,17.8720106729626
"48",5000,0.7,16,300,6.54171552658081,17.4773830485811
"49",5000,0.7,1,500,7.98949027061462,24.7707041834484
"50",5000,0.7,4,500,9.13551301956177,20.4110033889673
"51",5000,0.7,7,500,9.30764632225037,19.6642206968551
"52",5000,0.7,10,500,9.78862366676331,18.7924270098718
"53",5000,0.7,13,500,10.9296468257904,17.7952508475549
"54",5000,0.7,16,500,11.2343070983887,17.5135391765807
"55",5000,0.8,1,100,3.65165681838989,8.54868282262738
"56",5000,0.8,4,100,4.79137630462647,7.76154902807979
"57",5000,0.8,7,100,5.58862900733948,7.4909697401745
"58",5000,0.8,10,100,5.902734375,8.05752845947616
"59",5000,0.8,13,100,6.18812470436096,7.81829149996535
"60",5000,0.8,1,300,11.4684495449066,11.2415235199173
"61",5000,0.8,4,300,14.3412360191345,8.01185357162858
"62",5000,0.8,7,300,14.6065235137939,7.6708116328995
"63",5000,0.8,10,300,15.3145591259003,7.74911690530525
"64",5000,0.8,13,300,15.790048789978,7.6494972033998
"65",5000,0.8,1,500,17.9619127750397,9.62139355615883
"66",5000,0.8,4,500,22.2865437030792,7.89303933760446
"67",5000,0.8,7,500,23.0581842899322,7.41788170344681
"68",5000,0.8,10,500,24.4604637145996,7.91973224234341
"69",5000,0.8,13,500,25.5847520828247,7.68179391015804
"70",5000,0.9,1,100,8.73844494819641,4.34228316463099
"71",5000,0.9,2,100,12.0171546936035,4.24342954609374
"72",5000,0.9,3,100,12.8779379367828,3.74132962161926
"73",5000,0.9,1,300,26.0449656963348,4.3148053527081
"74",5000,0.9,2,300,31.3411310195923,3.94320177022049
"75",5000,0.9,3,300,34.4572578907013,3.73543231828233
"76",5000,0.9,1,500,43.8295485973358,4.23161762653488
"77",5000,0.9,2,500,52.0640773296356,3.86637365619036
"78",5000,0.9,3,500,12.5539639560382,3.76742317786122
"79",5000,1,1,300,1.59942052841187,2.57921986183225
