"","n","gamma","s","ntree","time","MSE"
"1",1000,0.5,1,100,0.96334171295166,1969.36551049893
"2",1000,0.5,4,100,1.11117315292358,1482.79390077343
"3",1000,0.5,7,100,1.25485825538635,1385.59380629948
"4",1000,0.5,10,100,1.37946534156799,1311.50853745239
"5",1000,0.5,13,100,1.4155101776123,1285.66207562431
"6",1000,0.5,16,100,1.70035648345947,1297.18949282319
"7",1000,0.5,1,500,1.47433495521545,2120.76882030304
"8",1000,0.5,4,500,1.93645358085632,1470.53201132873
"9",1000,0.5,7,500,2.10435652732849,1382.33307889086
"10",1000,0.5,10,500,2.49262452125549,1296.35872976238
"11",1000,0.5,13,500,2.65689516067505,1285.81144310144
"12",1000,0.5,16,500,2.92622518539429,1292.19140357091
"13",1000,0.5,1,1000,2.54266262054443,2082.21846203312
"14",1000,0.5,4,1000,2.85266757011414,1472.56069222909
"15",1000,0.5,7,1000,3.04314637184143,1380.57995193147
"16",1000,0.5,10,1000,3.31639099121094,1304.31767828853
"17",1000,0.5,13,1000,4.22974538803101,1282.68594285685
"18",1000,0.5,16,1000,4.07561993598938,1288.67657095735
"19",1000,0.6,1,100,0.935686349868774,1092.26559854541
"20",1000,0.6,4,100,1.44464993476868,564.044043765069
"21",1000,0.6,7,100,1.56562852859497,527.567594274106
"22",1000,0.6,10,100,1.97878742218018,515.852696358747
"23",1000,0.6,13,100,2.07811164855957,497.51083789951
"24",1000,0.6,16,100,2.24831461906433,493.299171122739
"25",1000,0.6,1,500,2.88002753257751,1075.25477672961
"26",1000,0.6,4,500,3.08438372612,561.858911326721
"27",1000,0.6,7,500,3.38399267196655,524.130050100619
"28",1000,0.6,10,500,4.34372758865356,517.040339970392
"29",1000,0.6,13,500,4.47328329086304,497.723517938537
"30",1000,0.6,16,500,5.19058275222778,496.492338275416
"31",1000,0.6,1,1000,4.33248209953308,848.624026656777
"32",1000,0.6,4,1000,5.96714925765991,565.748437965049
"33",1000,0.6,7,1000,7.14313220977783,516.346357268181
"34",1000,0.6,10,1000,8.15462517738342,516.679222599376
"35",1000,0.6,13,1000,8.05424547195435,497.287324912007
"36",1000,0.6,16,1000,8.16968607902527,493.727319434225
"37",1000,0.7,1,50,1.00891017913818,211.034033584666
"38",1000,0.7,4,50,1.80349493026733,206.573379704203
"39",1000,0.7,7,50,2.14533567428589,188.553149723788
"40",1000,0.7,10,50,2.59877228736877,181.356622709
"41",1000,0.7,13,50,2.47109007835388,180.039329715581
"42",1000,0.7,16,50,3.06201815605164,179.012842263455
"43",1000,0.7,1,100,1.34633111953735,276.208194847004
"44",1000,0.7,4,100,2.27502942085266,206.039277647778
"45",1000,0.7,7,100,2.56716322898865,188.420878385485
"46",1000,0.7,10,100,3.09546828269958,181.811080628543
"47",1000,0.7,13,100,3.17837285995483,176.923822203822
"48",1000,0.7,16,100,3.79575181007385,178.61100824148
"49",1000,0.7,1,500,4.22032022476196,272.943856242217
"50",1000,0.7,4,500,5.50573658943176,205.153656880794
"51",1000,0.7,7,500,6.0355212688446,187.929666437769
"52",1000,0.7,10,500,7.01729893684387,180.004391023462
"53",1000,0.7,13,500,7.75321221351624,177.648583213285
"54",1000,0.7,16,500,8.95471334457397,179.474201869403
"55",1000,0.8,1,50,1.3339364528656,114.076780529576
"56",1000,0.8,4,50,2.69857788085938,76.5424619188448
"57",1000,0.8,7,50,3.3601188659668,79.1476475268614
"58",1000,0.8,10,50,4.12458443641663,81.0791994500523
"59",1000,0.8,13,50,4.88294291496277,81.0059512019793
"60",1000,0.8,1,100,2.51900148391724,150.869473598884
"61",1000,0.8,4,100,4.27048301696777,77.8755651017969
"62",1000,0.8,7,100,4.19991874694824,80.6331932534239
"63",1000,0.8,10,100,5.09049201011658,80.400874473618
"64",1000,0.8,13,100,5.53136372566223,80.5726619253138
"65",1000,0.8,1,500,10.8742287158966,94.7739614185137
"66",1000,0.8,4,500,12.9285316467285,78.3926344076958
"67",1000,0.8,7,500,13.7983644008636,80.1355301593333
"68",1000,0.8,10,500,14.5624375343323,79.4515416930966
"69",1000,0.8,13,500,17.713222026825,80.5575179776094
"70",1000,0.9,1,25,1.77152395248413,65.7602032814835
"71",1000,0.9,4,25,3.75448417663574,55.0864734181166
"72",1000,0.9,7,25,5.44227957725525,53.026464609135
"73",1000,0.9,10,25,5.65354895591736,53.8300027102021
"74",1000,0.9,13,25,8.09726691246033,51.1516036891289
"75",1000,0.9,1,100,4.59816098213196,55.4184693751821
"76",1000,0.9,4,100,7.13807821273804,50.7254887013951
"77",1000,0.9,7,100,9.42106485366821,48.7591215026786
"78",1000,0.9,10,100,10.9130861759186,48.284326141735
"79",1000,0.9,13,100,12.2536001205444,50.1886978349545
"80",1000,0.9,1,250,12.1285581588745,50.2249866549227
"81",1000,0.9,4,250,17.5927309989929,51.3482138183321
"82",1000,0.9,7,250,19.4609200954437,48.2760065882281
"83",1000,0.9,10,250,22.0421268939972,49.0390051570834
"84",1000,0.9,13,250,21.8410212993622,49.4467303518945
"85",1000,1,1,25,2.94933676719666,47.511770323281
"86",1000,1,3,25,6.6224684715271,43.5678025280682
"87",1000,1,5,25,9.6168954372406,41.1958648365694
"88",1000,1,1,100,10.7444288730621,40.9880795666019
"89",1000,1,3,100,16.9259059429169,39.5091139476664
"90",1000,1,5,100,19.6997902393341,38.7060795711162
"91",1000,1,1,250,25.0759365558624,37.4177274946339
"92",1000,1,3,250,36.9958159923553,38.6111450520722
"93",1000,1,5,250,43.5344245433807,37.0628303423955
