"","yhat","se","yexp","diff","rf_result","real_y_rf"
"1",523.664866598861,0.40562298498429,523.202183802937,-0.462682795924025,524.351546175774,523.202183802937
"4",521.446718958714,0.217133203365357,520.910505803281,-0.536213155432392,513.763626120527,512.372417014053
"5",517.752287180782,0.174604158618992,517.285201299716,-0.467085881065714,521.00261928887,522.500183299412
"9",517.549306977892,0.24645811786188,517.143272664661,-0.406034313230521,517.377493513167,517.143272664661
"13",521.817926504136,0.285939275109144,523.526528602087,1.70860209795126,518.386829858498,518.051225076787
"17",521.689359992774,0.241257769135527,521.249285348713,-0.440074644061724,519.839561285614,519.593940397572
"18",523.752351846336,0.261718289705288,525.905739925216,2.15338807887997,513.816478622584,513.658736510947
"20",526.116929864403,0.438971404849269,529.027918135165,2.91098827076269,521.652280684231,521.249285348713
"23",517.330890770263,0.288142148272965,517.71088191035,0.379991140086759,524.747489251911,525.905739925216
"26",517.871750247959,0.328274968251903,518.26913598464,0.397385736681258,517.525238521703,516.860476256708
"32",521.101898882848,0.277619533649839,520.053264423864,-1.04863445898354,523.17173542969,522.975690346883
"35",520.895212975753,0.300711274807879,519.54989969494,-1.34531328081323,528.409489439173,529.420942158598
"36",519.903554421286,0.224750156055966,520.475366292669,0.571811871383147,525.270118723491,524.545567775225
"37",518.195700843586,0.250966806438076,518.407869523104,0.212168679518868,523.746900339498,523.944570518899
"39",525.306902690561,0.364531220775714,534.46416998173,9.15726729116886,524.421696128472,525.171202187422
"41",518.154486233084,0.173326985732928,519.119307193944,0.964820960860493,520.616378749536,520.053264423864
"42",514.873407448402,0.313964833256932,511.653034116884,-3.22037333151758,518.152226293768,517.488118508109
"43",520.578700249571,0.207362922309638,521.362254949071,0.783554699499405,523.314824826548,523.604139931985
"44",524.490909730343,0.312608413101385,526.426742132377,1.93583240203407,527.112396095663,534.46416998173
"45",522.756378210332,0.32230599967126,530.922523771167,8.16614556083425,518.131645154223,519.119307193944
"47",517.014662383283,0.268707302803528,515.473479786429,-1.54118259685379,512.546664659028,511.653034116884
"48",514.937248828713,0.258281756051098,512.242312591385,-2.69493623732785,520.879023590988,521.362254949071
"49",522.475301726374,0.125094139733713,521.295656638472,-1.17964508790214,525.871891125895,526.426742132377
"51",524.770812727211,0.281079654975257,526.011520021238,1.24070729402638,514.319680793814,512.242312591385
"56",514.055837258718,0.289284298656001,510.927335703864,-3.12850155485478,524.481052624373,524.460006783233
"57",520.35209330125,0.314514418480181,518.553351659218,-1.79874164203147,516.283416826628,516.016269861587
"63",518.508332277195,0.272514814673678,520.288687122254,1.78035484505881,521.850317450322,523.055144832515
"67",516.474386852741,0.198600991279967,514.561385861357,-1.91300099138437,514.665524195714,513.589944997224
"72",522.350205870056,0.188390051644694,520.636692486756,-1.71351338330021,521.849424558686,522.345869736328
"74",519.335622126109,0.19368049846114,519.324412089974,-0.0112100361346847,515.228534536229,514.561385861357
"76",520.80203824825,0.157641078703722,521.916573456162,1.11453520791213,520.590012179487,521.252886571535
"77",516.335816326639,0.262661444961255,514.471938280019,-1.86387804662047,524.524078105053,524.278811949541
"78",518.972440254111,0.289812743894207,518.640995290906,-0.33144496320449,519.096487366958,519.324412089974
"81",521.497964041099,0.322275211663131,521.333966008404,-0.163998032695076,521.412592305641,521.916573456162
"84",517.808003717429,0.250496555841644,513.647042612986,-4.16096110444266,514.486399277313,514.471938280019
"86",524.781453548658,0.49198682679828,530.559839513981,5.77838596532285,518.328739539134,518.640995290906
"89",527.843867641319,0.243204859085228,531.484422134244,3.64055449292459,517.171882701327,517.287445751937
"90",518.928603906166,0.201314866271118,516.064666907415,-2.86393699875191,521.095788915396,521.333966008404
"94",521.059233872135,0.154800781202959,519.84958958555,-1.20964428658579,519.962084328926,518.194634870041
"96",519.78282489132,0.274094198786815,519.411451953152,-0.371372938167838,526.494261487982,530.559839513981
"101",518.947107964517,0.171263878527417,519.575861740939,0.628753776422627,513.454114575327,512.925183619199
"102",519.672830441568,0.238992104302788,520.253423004776,0.580592563208256,529.216343872111,531.484422134244
"103",525.910852874411,0.256918009195284,526.676268231024,0.765415356613744,520.711557639235,519.84958958555
"104",515.743272088095,0.405929189851173,515.022245733446,-0.721026354649098,528.033839120814,529.367841577246
