"","n","s","pct","MSE"
"1",25,2,0.5,35.3734353474695
"2",25,4,0.5,56.1408867891979
"3",25,6,0.5,42.3127881042393
"4",25,8,0.5,64.2775355204965
"5",25,10,0.5,54.3136787379685
"6",25,2,0.8,37.4804580722352
"7",25,4,0.8,40.009794523226
"8",25,6,0.8,35.8132879776207
"9",25,8,0.8,46.8763687863638
"10",25,10,0.8,50.3675459983327
"11",50,2,0.5,29.8144996584494
"12",50,4,0.5,41.5882587662865
"13",50,6,0.5,47.2990246659554
"14",50,8,0.5,45.6444335570285
"15",50,10,0.5,47.75117495156
"16",50,2,0.8,22.7987366168213
"17",50,4,0.8,27.9326136805625
"18",50,6,0.8,31.5436030387906
"19",50,8,0.8,37.8897943938795
"20",50,10,0.8,28.5254734193696
"21",100,2,0.5,17.5887225857565
"22",100,4,0.5,24.4665883679554
"23",100,6,0.5,29.0266885572468
"24",100,8,0.5,37.0982588982277
"25",100,10,0.5,38.8489177582129
"26",100,2,0.8,12.7592641552214
"27",100,4,0.8,17.090500187037
"28",100,6,0.8,24.6621778473167
"29",100,8,0.8,28.9672221029823
"30",100,10,0.8,27.5726161950854
"31",200,2,0.5,12.4913699902276
"32",200,4,0.5,16.2684141041174
"33",200,6,0.5,19.6049111699509
"34",200,8,0.5,22.3336356904573
"35",200,10,0.5,25.8380546586363
"36",200,2,0.8,8.1710131739517
"37",200,4,0.8,10.9220155199079
"38",200,6,0.8,14.5527554794619
"39",200,8,0.8,15.4452810211551
"40",200,10,0.8,17.7482802658504
"41",400,2,0.5,8.5155108570676
"42",400,4,0.5,10.3987577865761
"43",400,6,0.5,12.6190969599816
"44",400,8,0.5,14.6587928009296
"45",400,10,0.5,17.4741971398653
"46",400,2,0.8,7.02136059075114
"47",400,4,0.8,9.17156459114262
"48",400,6,0.8,11.5975351993288
"49",400,8,0.8,12.6160962148122
"50",400,10,0.8,14.1197766222169
