,n,gamma,s,ntree,time,MSE
1,10000,0.5,5,25,0.275885105,111.9509367
2,10000,0.5,5,50,0.442959166,113.0778791
3,10000,0.5,5,75,0.625848579,110.8761208
4,10000,0.5,5,100,0.816593266,110.2005845
5,10000,0.5,5,125,1.005279493,110.6988336
6,10000,0.5,5,150,1.19490695,112.9460014
7,10000,0.5,5,175,1.379090357,109.3626523
8,10000,0.5,5,200,1.613985014,110.8952428
9,10000,0.5,5,225,1.754707241,113.4012039
10,10000,0.5,5,250,1.947445774,108.7463744
11,10000,0.5,5,275,2.142010164,110.4768036
12,10000,0.5,5,300,2.325078011,109.6326457
13,10000,0.5,5,325,2.560652971,112.0996665
14,10000,0.5,5,350,2.699595737,111.5125419
15,10000,0.5,5,375,2.885581541,111.4366904
16,10000,0.5,5,400,3.127428246,109.4992771
17,10000,0.5,5,425,3.2566751,111.7507667
18,10000,0.5,5,450,3.465360737,110.8886467
19,10000,0.5,5,475,3.68596673,112.0283992
20,10000,0.5,5,500,3.87253437,111.8350801
21,10000,0.6,5,25,0.542006254,36.35494949
22,10000,0.6,5,50,1.015453672,35.49162503
23,10000,0.6,5,75,1.489581394,35.36540633
24,10000,0.6,5,100,2.016430235,35.05597345
25,10000,0.6,5,125,2.433651018,35.15996056
26,10000,0.6,5,150,2.962062502,34.09765477
27,10000,0.6,5,175,3.433489561,34.83853279
28,10000,0.6,5,200,3.911681986,34.14966203
29,10000,0.6,5,225,4.375580549,35.47234548
30,10000,0.6,5,250,4.845405102,34.74621128
31,10000,0.6,5,275,5.343023586,34.37515778
32,10000,0.6,5,300,5.793886995,34.85052239
33,10000,0.6,5,325,6.294741535,34.67415544
34,10000,0.6,5,350,6.770540094,34.83911895
35,10000,0.6,5,375,7.241453934,35.1142216
36,10000,0.6,5,400,7.723716927,34.14667184
37,10000,0.6,5,425,8.17926569,34.29335522
38,10000,0.6,5,450,8.664969921,34.28377971
39,10000,0.6,5,475,9.161094713,34.36900892
40,10000,0.6,5,500,9.633955431,34.56868884
41,10000,0.7,5,25,1.327080202,14.56029901
42,10000,0.7,5,50,2.501221037,14.0594609
43,10000,0.7,5,75,3.755451012,13.56332385
44,10000,0.7,5,100,4.979323959,13.89116249
45,10000,0.7,5,125,6.198910379,13.6615707
46,10000,0.7,5,150,7.415791321,13.36099404
47,10000,0.7,5,175,8.641022348,13.75095848
48,10000,0.7,5,200,9.87468152,13.58900269
49,10000,0.7,5,225,11.06373234,13.37109418
50,10000,0.7,5,250,12.32150993,13.44827904
51,10000,0.7,5,275,13.5278666,13.30515493
52,10000,0.7,5,300,14.73446894,13.38439899
53,10000,0.7,5,325,15.94112301,13.54131894
54,10000,0.7,5,350,17.1477191,13.69467483
55,10000,0.7,5,375,18.41393337,13.53736734
56,10000,0.7,5,400,19.59829359,13.64768602
57,10000,0.7,5,425,20.82863541,13.21780241
58,10000,0.7,5,450,22.05897179,13.41764361
59,10000,0.7,5,475,23.24695678,13.65273039
60,10000,0.7,5,500,24.51728325,13.36261305
61,10000,0.8,5,25,3.122896671,7.899114549
62,10000,0.8,5,50,6.173097515,7.110979562
63,10000,0.8,5,75,9.219035339,6.901357361
64,10000,0.8,5,100,12.28892126,6.955669097
65,10000,0.8,5,125,15.2989892,7.210121372
66,10000,0.8,5,150,18.31003957,7.088804774
67,10000,0.8,5,175,21.40005741,6.984200482
68,10000,0.8,5,200,24.35627208,6.967328102
69,10000,0.8,5,225,27.42148666,6.805611633
70,10000,0.8,5,250,30.44006796,6.969978472
71,10000,0.8,5,275,33.50155559,6.928140751
72,10000,0.8,5,300,36.55542355,6.967678466
73,10000,0.8,5,325,39.50752587,7.019015943
74,10000,0.8,5,350,42.55974197,6.816208018
75,10000,0.8,5,375,45.59725032,6.949292974
76,10000,0.8,5,400,48.66792102,6.923628076
77,10000,0.8,5,425,51.67533932,7.038348901
78,10000,0.8,5,450,54.60478859,7.003205849
79,10000,0.8,5,475,57.68374481,7.047601051
80,10000,0.8,5,500,60.72343626,6.921844271
81,10000,0.9,5,25,10.29114485,4.053461746
82,10000,0.9,5,50,20.50169754,4.048878179
83,10000,0.9,5,75,30.65821519,3.872189085
84,10000,0.9,5,100,40.8308929,3.724627733
85,10000,0.9,5,125,50.98473759,3.713447295
86,10000,0.9,5,150,60.99710193,3.624743407
87,10000,0.9,5,175,71.17369361,3.697556859
88,10000,0.9,5,200,81.40376792,3.674862713
89,10000,0.9,5,225,91.51209269,3.774290354
90,10000,0.9,5,250,101.6883937,3.692840417
91,10000,0.9,5,275,111.7469859,3.774155958
92,10000,0.9,5,300,121.9005131,3.692000658
93,10000,0.9,5,325,131.9342709,3.669646901
94,10000,0.9,5,350,142.0345887,3.721926147
95,10000,0.9,5,375,152.1716599,3.694501077
96,10000,0.9,5,400,162.4664554,3.735318383
97,10000,0.9,5,425,172.552458,3.683418593
98,10000,0.9,5,450,182.6056498,3.760330919
99,10000,0.9,5,475,192.9208446,3.73181066
100,10000,0.9,5,500,203.0219614,3.714633235
101,10000,1,1,500,78.51369779,2.5735235
