,n,gamma,s,ntree,time,MSE
1,10000,0.5,5,25,0.263663149,544.2754497
2,10000,0.5,5,50,0.439911461,548.5993802
3,10000,0.5,5,75,0.631390476,550.3275311
4,10000,0.5,5,100,0.835175133,539.794548
5,10000,0.5,5,125,1.007062817,547.4034076
6,10000,0.5,5,150,1.198663044,546.5977619
7,10000,0.5,5,175,1.388114548,541.5802819
8,10000,0.5,5,200,1.62240448,544.6158982
9,10000,0.5,5,225,1.767121363,542.8094508
10,10000,0.5,5,250,1.954516077,546.6973791
11,10000,0.5,5,275,2.144709873,545.4280923
12,10000,0.5,5,300,2.360604715,545.5540508
13,10000,0.5,5,325,2.57417345,543.6876188
14,10000,0.5,5,350,2.740575504,542.7434373
15,10000,0.5,5,375,2.94429884,542.7304603
16,10000,0.5,5,400,3.084772968,543.5158819
17,10000,0.5,5,425,3.329284286,542.2959745
18,10000,0.5,5,450,3.516898441,542.6477251
19,10000,0.5,5,475,3.674896812,542.7091014
20,10000,0.5,5,500,3.892993927,541.8521066
21,10000,0.6,5,25,0.542382193,377.9854986
22,10000,0.6,5,50,1.046584988,377.1227365
23,10000,0.6,5,75,1.490195847,380.0312947
24,10000,0.6,5,100,1.964915752,382.5365831
25,10000,0.6,5,125,2.440892363,386.7721622
26,10000,0.6,5,150,2.963844585,376.4459985
27,10000,0.6,5,175,3.444384813,382.9411173
28,10000,0.6,5,200,3.915624142,381.4747451
29,10000,0.6,5,225,4.387822676,379.2382678
30,10000,0.6,5,250,4.874917078,381.71329
31,10000,0.6,5,275,5.342077684,376.1608764
32,10000,0.6,5,300,5.832860374,380.263094
33,10000,0.6,5,325,6.317920732,380.4677612
34,10000,0.6,5,350,6.787293959,382.0703108
35,10000,0.6,5,375,7.262975216,380.9893606
36,10000,0.6,5,400,7.731514645,380.3483108
37,10000,0.6,5,425,8.238986969,380.0744448
38,10000,0.6,5,450,8.710392952,379.9561797
39,10000,0.6,5,475,9.193339252,380.2625901
40,10000,0.6,5,500,9.664122486,379.5188375
41,10000,0.7,5,25,1.298767805,238.8469907
42,10000,0.7,5,50,2.506119394,240.1737452
43,10000,0.7,5,75,3.765583944,236.2361134
44,10000,0.7,5,100,4.974397516,241.5205572
45,10000,0.7,5,125,6.219247341,239.0345394
46,10000,0.7,5,150,7.433923244,239.0778234
47,10000,0.7,5,175,8.670643282,237.6216118
48,10000,0.7,5,200,9.893820143,237.6454693
49,10000,0.7,5,225,11.09624662,240.7342373
50,10000,0.7,5,250,12.35489855,238.5522064
51,10000,0.7,5,275,13.5778471,239.628607
52,10000,0.7,5,300,14.77933178,238.6658134
53,10000,0.7,5,325,15.98762836,239.2163369
54,10000,0.7,5,350,17.21965089,239.6340662
55,10000,0.7,5,375,18.45216589,239.2479001
56,10000,0.7,5,400,19.66687403,237.66245
57,10000,0.7,5,425,20.9181438,238.728735
58,10000,0.7,5,450,22.1040134,239.67999
59,10000,0.7,5,475,23.31331592,238.4680282
60,10000,0.7,5,500,24.57824364,238.4916108
61,10000,0.8,5,25,3.14424324,144.9453024
62,10000,0.8,5,50,6.1780828,145.102613
63,10000,0.8,5,75,9.269573832,149.2575963
64,10000,0.8,5,100,12.30484142,148.4517317
65,10000,0.8,5,125,15.34597163,149.0587989
66,10000,0.8,5,150,18.40212131,149.3390593
67,10000,0.8,5,175,21.42023635,148.5750543
68,10000,0.8,5,200,24.49402061,147.3346748
69,10000,0.8,5,225,27.45610776,146.5444331
70,10000,0.8,5,250,30.60207601,149.8995781
71,10000,0.8,5,275,33.60072908,148.6486138
72,10000,0.8,5,300,36.620367,149.7512688
73,10000,0.8,5,325,39.5884758,148.2671594
74,10000,0.8,5,350,42.64827995,148.9055705
75,10000,0.8,5,375,45.7534831,147.108264
76,10000,0.8,5,400,48.699402,147.9802513
77,10000,0.8,5,425,51.7476809,148.9369009
78,10000,0.8,5,450,54.78370066,149.9408197
79,10000,0.8,5,475,57.8375824,148.8271617
80,10000,0.8,5,500,60.80835977,148.1121777
81,10000,0.9,5,25,10.28447104,91.60542833
82,10000,0.9,5,50,20.45871525,91.32568756
83,10000,0.9,5,75,30.63032508,90.78568648
84,10000,0.9,5,100,40.76935797,90.26778707
85,10000,0.9,5,125,50.90801415,88.77293347
86,10000,0.9,5,150,61.10196428,88.71979677
87,10000,0.9,5,175,71.17601895,88.63069145
88,10000,0.9,5,200,81.31709728,88.47061624
89,10000,0.9,5,225,91.45349393,90.26633139
90,10000,0.9,5,250,101.5718785,90.90474545
91,10000,0.9,5,275,111.6692581,89.57813924
92,10000,0.9,5,300,121.7441637,89.57770347
93,10000,0.9,5,325,131.7795405,89.07669001
94,10000,0.9,5,350,142.0571317,89.08901359
95,10000,0.9,5,375,152.0955093,90.02454163
96,10000,0.9,5,400,162.1818539,89.03843077
97,10000,0.9,5,425,172.3066352,89.63387973
98,10000,0.9,5,450,182.4394589,89.77530069
99,10000,0.9,5,475,192.5935292,88.93616531
100,10000,0.9,5,500,202.7891898,89.56851249
101,10000,1,1,500,79.75612333,64.40660481
