,n,gamma,s,ntree,time,MSE
1,10000,0.5,5,25,0.264147186,23.51711002
2,10000,0.5,5,50,0.447027016,23.00646405
3,10000,0.5,5,75,0.666458941,22.88323896
4,10000,0.5,5,100,0.833395624,23.38036182
5,10000,0.5,5,125,1.043520641,22.98613312
6,10000,0.5,5,150,1.222319555,22.87192199
7,10000,0.5,5,175,1.414106178,23.01359465
8,10000,0.5,5,200,1.666525555,23.02504227
9,10000,0.5,5,225,1.799082661,23.12224704
10,10000,0.5,5,250,1.991637373,22.90440879
11,10000,0.5,5,275,2.240805101,22.96240372
12,10000,0.5,5,300,2.372380114,23.01269428
13,10000,0.5,5,325,2.564850473,22.95729646
14,10000,0.5,5,350,2.816561985,23.08954282
15,10000,0.5,5,375,2.950616312,22.96410929
16,10000,0.5,5,400,3.208213139,22.97456172
17,10000,0.5,5,425,3.398860455,23.00400487
18,10000,0.5,5,450,3.590903044,22.96550545
19,10000,0.5,5,475,3.782487488,22.94601155
20,10000,0.5,5,500,3.9530128,22.96691212
21,10000,0.6,5,25,0.545890903,15.70048766
22,10000,0.6,5,50,1.049654675,15.70637501
23,10000,0.6,5,75,1.518176031,15.43933916
24,10000,0.6,5,100,1.999796534,15.53265637
25,10000,0.6,5,125,2.483475399,15.47767718
26,10000,0.6,5,150,2.996789074,15.33540926
27,10000,0.6,5,175,3.449948502,15.64929543
28,10000,0.6,5,200,3.935596848,15.44883702
29,10000,0.6,5,225,4.425423193,15.43295068
30,10000,0.6,5,250,4.916602993,15.35240945
31,10000,0.6,5,275,5.450810671,15.45012453
32,10000,0.6,5,300,5.932300901,15.47291957
33,10000,0.6,5,325,6.416746187,15.45541228
34,10000,0.6,5,350,6.897640467,15.38098302
35,10000,0.6,5,375,7.412151814,15.45421404
36,10000,0.6,5,400,7.897066116,15.36445109
37,10000,0.6,5,425,8.381718731,15.43536439
38,10000,0.6,5,450,8.806954145,15.45405125
39,10000,0.6,5,475,9.238655281,15.444926
40,10000,0.6,5,500,9.681533146,15.51727643
41,10000,0.7,5,25,1.293043566,11.06904489
42,10000,0.7,5,50,2.518123817,10.86434497
43,10000,0.7,5,75,3.734717512,10.69512042
44,10000,0.7,5,100,5.013179779,10.73238193
45,10000,0.7,5,125,6.2413589,10.6922497
46,10000,0.7,5,150,7.578314638,10.64222166
47,10000,0.7,5,175,8.836501312,10.74853932
48,10000,0.7,5,200,9.957907867,10.62029265
49,10000,0.7,5,225,11.1833817,10.6433398
50,10000,0.7,5,250,12.34493089,10.72903836
51,10000,0.7,5,275,13.56437578,10.72058681
52,10000,0.7,5,300,14.87358069,10.65747159
53,10000,0.7,5,325,16.19234581,10.67849386
54,10000,0.7,5,350,17.38982668,10.63417157
55,10000,0.7,5,375,18.72692089,10.58086995
56,10000,0.7,5,400,19.80883398,10.66072192
57,10000,0.7,5,425,20.8834383,10.66967993
58,10000,0.7,5,450,22.03929396,10.63970408
59,10000,0.7,5,475,23.38457966,10.57872473
60,10000,0.7,5,500,24.79185166,10.63207359
61,10000,0.8,5,25,3.099198627,8.115815017
62,10000,0.8,5,50,6.185248184,7.949414144
63,10000,0.8,5,75,9.359297943,7.884423852
64,10000,0.8,5,100,12.37241926,7.843875159
65,10000,0.8,5,125,15.54798689,7.763727968
66,10000,0.8,5,150,18.91828871,7.802021898
67,10000,0.8,5,175,21.72695932,7.814923574
68,10000,0.8,5,200,24.50831394,7.746639086
69,10000,0.8,5,225,27.7766809,7.780310233
70,10000,0.8,5,250,30.88310533,7.790498002
71,10000,0.8,5,275,33.84743962,7.815762502
72,10000,0.8,5,300,37.38774509,7.76759053
73,10000,0.8,5,325,40.31742091,7.795820975
74,10000,0.8,5,350,43.07328663,7.770153241
75,10000,0.8,5,375,46.23104424,7.764651714
76,10000,0.8,5,400,49.25672998,7.701662509
77,10000,0.8,5,425,52.16733379,7.820264411
78,10000,0.8,5,450,55.45025344,7.774709814
79,10000,0.8,5,475,58.34941521,7.762649431
80,10000,0.8,5,500,61.82413044,7.768149666
81,10000,0.9,5,25,10.6367363,5.850656315
82,10000,0.9,5,50,20.66164141,5.616487383
83,10000,0.9,5,75,31.90130467,5.656986691
84,10000,0.9,5,100,41.57556653,5.57876873
85,10000,0.9,5,125,52.22645612,5.546639559
86,10000,0.9,5,150,62.73662181,5.574001209
87,10000,0.9,5,175,72.37383213,5.566055133
88,10000,0.9,5,200,83.52608728,5.573216236
89,10000,0.9,5,225,93.82142358,5.553299473
90,10000,0.9,5,250,103.0807252,5.564650973
91,10000,0.9,5,275,115.071249,5.588302253
92,10000,0.9,5,300,124.2409366,5.594408086
93,10000,0.9,5,325,135.0367617,5.607439528
94,10000,0.9,5,350,145.6177471,5.54939253
95,10000,0.9,5,375,154.4664508,5.55862971
96,10000,0.9,5,400,168.3828666,5.54401294
97,10000,0.9,5,425,177.4889764,5.554896273
98,10000,0.9,5,450,184.6663313,5.560654408
99,10000,0.9,5,475,194.9832305,5.590338662
100,10000,0.9,5,500,205.4121697,5.567343439
101,10000,1,1,500,75.23781307,4.605620193
