,n,gamma,s,ntree,time,MSE
1,10000,0.5,1,500,3.795400858,152.1327644
2,10000,0.5,3,500,3.803724813,124.3761852
3,10000,0.5,5,500,3.888004827,111.031906
4,10000,0.5,7,500,3.859057283,107.7807979
5,10000,0.5,9,500,3.840800714,104.3421398
6,10000,0.5,11,500,3.851891518,101.9478431
7,10000,0.5,13,500,3.868269682,100.6048445
8,10000,0.5,15,500,3.918720388,101.5219449
9,10000,0.5,17,500,4.0197299,100.2080059
10,10000,0.6,1,500,9.516834641,47.97092057
11,10000,0.6,3,500,9.599932766,40.11473723
12,10000,0.6,5,500,9.660456085,34.93212527
13,10000,0.6,7,500,9.688310099,33.83023917
14,10000,0.6,9,500,9.73782382,32.8566787
15,10000,0.6,11,500,9.754527283,32.07610791
16,10000,0.6,13,500,9.849421024,31.82309756
17,10000,0.6,15,500,9.890689516,32.51369785
18,10000,0.6,17,500,10.10431929,32.139569
19,10000,0.7,1,500,24.36581674,18.10778099
20,10000,0.7,3,500,24.70871825,14.74582611
21,10000,0.7,5,500,24.97295885,13.40498209
22,10000,0.7,7,500,25.20807805,13.57708561
23,10000,0.7,9,500,25.38514962,13.49556253
24,10000,0.7,11,500,25.49911375,13.36296732
25,10000,0.7,13,500,25.68862224,13.2465658
26,10000,0.7,15,500,25.90577536,13.45697671
27,10000,0.7,17,500,26.56559615,13.34517114
28,10000,0.8,1,500,60.54164648,8.387389885
29,10000,0.8,3,500,62.5561974,7.471099688
30,10000,0.8,5,500,63.83315611,6.851866044
31,10000,0.8,7,500,64.9252964,6.738216799
32,10000,0.8,9,500,65.96288838,6.6731092
33,10000,0.8,11,500,66.96764383,6.647563263
34,10000,0.8,13,500,68.09628582,6.573378557
35,10000,0.8,15,500,69.09245901,6.595243535
36,10000,0.9,1,500,205.5304333,4.662211832
37,10000,0.9,3,500,216.8482044,3.820667624
38,10000,0.9,5,500,225.2076381,3.749918504
39,10000,1,1,500,78.51369779,2.5735235
