,n,gamma,s,ntree,time,MSE
1,10000,0.5,1,500,3.836896038,625.1223515
2,10000,0.5,3,500,3.881215048,575.8853302
3,10000,0.5,5,500,3.893214464,540.7965108
4,10000,0.5,7,500,3.911930227,540.3964855
5,10000,0.5,9,500,3.931064415,531.894735
6,10000,0.5,11,500,3.864859533,530.4407681
7,10000,0.5,13,500,3.879013252,529.7355097
8,10000,0.5,15,500,3.918185568,529.3360861
9,10000,0.5,17,500,3.956302357,526.301749
10,10000,0.6,1,500,9.572672462,419.0704096
11,10000,0.6,3,500,9.636705732,390.3000262
12,10000,0.6,5,500,9.673693943,379.155035
13,10000,0.6,7,500,9.718107462,374.1873593
14,10000,0.6,9,500,9.687774658,368.9612392
15,10000,0.6,11,500,9.764558315,369.1404381
16,10000,0.6,13,500,9.816572571,366.9724252
17,10000,0.6,15,500,9.856153536,367.0314561
18,10000,0.6,17,500,9.83143301,368.2739253
19,10000,0.7,1,500,24.42174807,263.0751887
20,10000,0.7,3,500,24.7516993,239.9907059
21,10000,0.7,5,500,24.9432272,239.9712597
22,10000,0.7,7,500,25.09252281,238.1599557
23,10000,0.7,9,500,25.31605682,235.2314307
24,10000,0.7,11,500,25.5250021,233.9963022
25,10000,0.7,13,500,25.71105843,232.6363115
26,10000,0.7,15,500,25.91719799,234.3854128
27,10000,0.7,17,500,26.15077009,232.2047881
28,10000,0.8,1,500,60.52577853,153.4152409
29,10000,0.8,3,500,62.58612685,151.680436
30,10000,0.8,5,500,63.71756101,147.2492643
31,10000,0.8,7,500,64.66433401,146.4083688
32,10000,0.8,9,500,65.77138171,146.4800261
33,10000,0.8,11,500,66.96319976,144.6952011
34,10000,0.8,13,500,67.89235868,144.7527609
35,10000,0.8,15,500,68.89838576,145.4536469
36,10000,0.9,1,500,205.0017529,86.49812039
37,10000,0.9,3,500,217.5867547,91.91747786
38,10000,0.9,5,500,222.9589425,89.27388296
39,10000,1,1,500,79.75612333,64.40660481
