,n,gamma,s,ntree,time,MSE
1,10000,0.5,1,500,3.807680798,28.65441353
2,10000,0.5,3,500,3.866323519,24.48824215
3,10000,0.5,5,500,3.876554394,23.05865618
4,10000,0.5,7,500,3.83649807,22.5397998
5,10000,0.5,9,500,3.852970028,22.34288656
6,10000,0.5,11,500,3.858931112,22.77693317
7,10000,0.5,13,500,3.907533884,22.89684671
8,10000,0.5,15,500,3.937393951,23.03013297
9,10000,0.5,17,500,3.944874048,22.9962916
10,10000,0.6,1,500,9.489085674,17.52594827
11,10000,0.6,3,500,9.541083813,15.68117728
12,10000,0.6,5,500,9.581547117,15.57650052
13,10000,0.6,7,500,9.611639786,15.71094037
14,10000,0.6,9,500,9.683096361,15.47793589
15,10000,0.6,11,500,9.757407856,15.4239517
16,10000,0.6,13,500,9.780916643,15.27233207
17,10000,0.6,15,500,9.776563454,15.21094578
18,10000,0.6,17,500,9.80321846,15.27786181
19,10000,0.7,1,500,24.22287612,11.73760645
20,10000,0.7,3,500,24.65968714,10.8141912
21,10000,0.7,5,500,24.83916087,10.65804049
22,10000,0.7,7,500,25.02859735,10.6607874
23,10000,0.7,9,500,25.20159345,10.62334508
24,10000,0.7,11,500,25.36209354,10.63640029
25,10000,0.7,13,500,25.54433913,10.67013643
26,10000,0.7,15,500,25.70681539,10.66796431
27,10000,0.7,17,500,25.8659842,10.65977175
28,10000,0.8,1,500,60.00644794,8.358545756
29,10000,0.8,3,500,62.13821578,7.884383149
30,10000,0.8,5,500,63.14324722,7.803021278
31,10000,0.8,7,500,64.17767615,7.711099083
32,10000,0.8,9,500,65.24712706,7.657601125
33,10000,0.8,11,500,66.36528006,7.640312889
34,10000,0.8,13,500,67.35560579,7.62152391
35,10000,0.8,15,500,68.19021568,7.608346831
36,10000,0.9,1,500,201.707688,5.850097094
37,10000,0.9,3,500,214.4410165,5.635162139
38,10000,0.9,5,500,223.0220249,5.558258873
39,10000,1,1,500,75.23781307,4.605620193
