"","n","gamma","s","ntree","time","MSE"
"1",4898,0.5,1,500,1.1569242477417,0.639305281213418
"2",4898,0.5,4,500,1.17939853668213,0.567040388809435
"3",4898,0.5,7,500,1.19067034721375,0.574963909674589
"4",4898,0.5,10,500,1.19919319152832,0.563939257990027
"5",4898,0.5,13,500,1.21491384506226,0.565905303342927
"6",4898,0.5,16,500,1.23406958580017,0.561784373290071
"7",4898,0.6,1,500,2.63633074760437,0.612177080932376
"8",4898,0.6,4,500,2.67971391677856,0.548419846724949
"9",4898,0.6,7,500,2.70124235153198,0.539428586969708
"10",4898,0.6,10,500,2.72439126968384,0.533365919297289
"11",4898,0.6,13,500,2.74660153388977,0.529902015493831
"12",4898,0.6,16,500,2.76689758300781,0.52740810222293
"13",4898,0.7,1,500,6.22136445045471,0.537945691759387
"14",4898,0.7,4,500,6.45108456611633,0.501395768896728
"15",4898,0.7,7,500,6.54528031349182,0.49477902856333
"16",4898,0.7,10,500,6.63993105888367,0.493769855976763
"17",4898,0.7,13,500,6.71616868972778,0.489644453642038
"18",4898,0.7,16,500,6.81874580383301,0.494193693934598
"19",4898,0.8,1,500,13.7081631660461,0.496900053485353
"20",4898,0.8,4,500,14.411230802536,0.462973522323188
"21",4898,0.8,7,500,14.849346780777,0.455353647515636
"22",4898,0.8,10,500,15.23947930336,0.451721900632568
"23",4898,0.8,13,500,15.6009632110596,0.452716218542989
"24",4898,0.9,1,500,33.0938142299652,0.432140463513438
"25",4898,0.9,4,500,36.339200925827,0.408239551120296
"26",4898,0.9,7,500,38.2846202373505,0.407419492715199
"27",4898,1,1,500,100.427663803101,0.355111197960143
"28",4898,1,1,1000,238.786240386963,0.356169005384394
