"","n","gamma","s","ntree","time","MSE"
"1",10000,0.5,1,50,0.404779434204102,161.38687212902
"2",10000,0.5,3,50,0.467679643630981,128.003544087514
"3",10000,0.5,5,50,0.429993009567261,114.099943196185
"4",10000,0.5,7,50,0.468828582763672,107.112183269029
"5",10000,0.5,9,50,0.443499183654785,103.393207260698
"6",10000,0.5,11,50,0.449408149719238,100.589843164112
"7",10000,0.5,13,50,0.488073921203613,100.364953336307
"8",10000,0.5,15,50,0.457718753814697,102.716287991583
"9",10000,0.5,17,50,0.464238786697388,100.834328403306
"10",10000,0.5,19,50,0.487948560714722,99.5837038668877
"11",10000,0.5,1,100,0.768645286560059,180.238205779878
"12",10000,0.5,3,100,0.800922250747681,130.194379121092
"13",10000,0.5,5,100,0.809982442855835,112.388546762788
"14",10000,0.5,7,100,0.840706443786621,107.41223834353
"15",10000,0.5,9,100,0.822228622436523,105.614395375091
"16",10000,0.5,11,100,0.828671550750732,102.196149182066
"17",10000,0.5,13,100,0.85810661315918,98.7129588607195
"18",10000,0.5,15,100,0.842382669448853,100.177241259234
"19",10000,0.5,17,100,0.87445764541626,99.6831836912158
"20",10000,0.5,19,100,0.855983638763428,100.541411787846
"21",10000,0.5,1,150,1.15800719261169,124.170261117137
"22",10000,0.5,3,150,1.18008718490601,128.234273322579
"23",10000,0.5,5,150,1.18842725753784,111.800550859733
"24",10000,0.5,7,150,1.19722895622253,108.470369256733
"25",10000,0.5,9,150,1.2359751701355,105.624587698308
"26",10000,0.5,11,150,1.21050977706909,101.511363369105
"27",10000,0.5,13,150,1.21487221717834,100.772262780919
"28",10000,0.5,15,150,1.26337122917175,100.650857676683
"29",10000,0.5,17,150,1.23568921089172,100.240082905808
"30",10000,0.5,19,150,1.23898229598999,99.5569828014063
"31",10000,0.5,1,200,1.53002548217773,121.042737012612
"32",10000,0.5,3,200,1.56049680709839,123.426001384504
"33",10000,0.5,5,200,1.57905530929565,110.80238026767
"34",10000,0.5,7,200,1.57807488441467,108.183583026484
"35",10000,0.5,9,200,1.59000973701477,104.488210438611
"36",10000,0.5,11,200,1.63063373565674,102.609693609977
"37",10000,0.5,13,200,1.61822209358215,100.792776826671
"38",10000,0.5,15,200,1.61226043701172,100.76194254305
"39",10000,0.5,17,200,1.62046880722046,100.925121508828
"40",10000,0.5,19,200,1.63137969970703,99.4535097030005
"41",10000,0.5,1,250,1.89590606689453,131.394422695826
"42",10000,0.5,3,250,1.93733658790588,126.548388764927
"43",10000,0.5,5,250,1.95024223327637,109.918058255307
"44",10000,0.5,7,250,1.96320676803589,106.289413232729
"45",10000,0.5,9,250,1.978058385849,106.300793945125
"46",10000,0.5,11,250,1.99098463058472,102.185415109865
"47",10000,0.5,13,250,1.98925666809082,101.822924181191
"48",10000,0.5,15,250,2.03563952445984,101.021159771276
"49",10000,0.5,17,250,2.01328282356262,100.322432922269
"50",10000,0.5,19,250,2.03427700996399,99.4745548946533
"51",10000,0.5,1,300,2.27690663337708,129.872499788498
"52",10000,0.5,3,300,2.37391848564148,124.869770441376
"53",10000,0.5,5,300,2.33114166259766,109.725163062972
"54",10000,0.5,7,300,2.38133511543274,108.431286473815
"55",10000,0.5,9,300,2.349729347229,105.324916126799
"56",10000,0.5,11,300,2.36307854652405,102.748568527638
"57",10000,0.5,13,300,2.43975853919983,98.5502430857733
"58",10000,0.5,15,300,2.39129586219788,100.952143755159
"59",10000,0.5,17,300,2.41093969345093,100.70481032517
"60",10000,0.5,19,300,2.41776514053345,99.7781433318386
"61",10000,0.5,1,350,2.6760064125061,113.565721264735
"62",10000,0.5,3,350,2.75237669944763,125.98073214342
"63",10000,0.5,5,350,2.71364750862122,110.833753559934
"64",10000,0.5,7,350,2.78092036247253,106.805053147393
"65",10000,0.5,9,350,2.75357141494751,106.893597381662
"66",10000,0.5,11,350,2.76362252235413,102.011182278347
"67",10000,0.5,13,350,2.79046783447266,100.178563714229
"68",10000,0.5,15,350,2.78503570556641,101.263011658551
"69",10000,0.5,17,350,2.84769334793091,100.768739440383
"70",10000,0.5,19,350,2.877135181427,99.1523155422102
"71",10000,0.5,1,400,3.04016394615173,180.769482047654
"72",10000,0.5,3,400,3.08641581535339,122.697406234068
"73",10000,0.5,5,400,3.15420250892639,110.365203361122
"74",10000,0.5,7,400,3.10859522819519,107.173663619494
"75",10000,0.5,9,400,3.13315725326538,105.630787337991
