"","n","gamma","s","ntree","time","MSE"
"1",10000,0.5,1,50,0.401636791229248,161.38687212902
"2",10000,0.5,3,50,0.428496408462524,130.639577872825
"3",10000,0.5,5,50,0.432937335968018,112.364933921631
"4",10000,0.5,7,50,0.438281965255737,108.570272783316
"5",10000,0.5,9,50,0.455476140975952,105.735270303085
"6",10000,0.5,11,50,0.447270154953003,104.469820418329
"7",10000,0.5,13,50,0.453757238388062,99.8755339127548
"8",10000,0.5,15,50,0.479928541183472,104.912736813024
"9",10000,0.5,17,50,0.484590721130371,98.6084992284882
"10",10000,0.5,19,50,0.475417137145996,99.5969064603933
"11",10000,0.5,1,100,0.766800832748413,180.238205779878
"12",10000,0.5,3,100,0.802374362945557,128.55070096608
"13",10000,0.5,5,100,0.82815899848938,107.804875816612
"14",10000,0.5,7,100,0.818022394180298,107.885560478418
"15",10000,0.5,9,100,0.82319130897522,106.912831363318
"16",10000,0.5,11,100,0.832746362686157,104.380615883595
"17",10000,0.5,13,100,0.838081741333008,100.014785394687
"18",10000,0.5,15,100,0.874042558670044,101.288549431909
"19",10000,0.5,17,100,0.855656051635742,101.905747528557
"20",10000,0.5,19,100,0.874551439285278,99.6394340473123
"21",10000,0.5,1,150,1.15609693527222,124.170261117137
"22",10000,0.5,3,150,1.18063178062439,123.35313673165
"23",10000,0.5,5,150,1.2112042427063,109.706435101414
"24",10000,0.5,7,150,1.20099654197693,106.465880116725
"25",10000,0.5,9,150,1.23023548126221,106.50793882015
"26",10000,0.5,11,150,1.21528482437134,103.698132491666
"27",10000,0.5,13,150,1.23759641647339,102.244016502898
"28",10000,0.5,15,150,1.23367938995361,102.559367388748
"29",10000,0.5,17,150,1.25221939086914,98.6151291608814
"30",10000,0.5,19,150,1.25354690551758,99.1941258741246
"31",10000,0.5,1,200,1.5193320274353,121.042737012612
"32",10000,0.5,3,200,1.59190502166748,129.502903331569
"33",10000,0.5,5,200,1.57243237495422,110.897473858895
"34",10000,0.5,7,200,1.5816593170166,107.668369731125
"35",10000,0.5,9,200,1.5918466091156,105.150897904041
"36",10000,0.5,11,200,1.59566268920898,101.863473688299
"37",10000,0.5,13,200,1.61371779441833,100.114312804887
"38",10000,0.5,15,200,1.63377757072449,101.295785926741
"39",10000,0.5,17,200,1.63201680183411,100.789694998101
"40",10000,0.5,19,200,1.64740867614746,98.99399205552
"41",10000,0.5,1,250,1.90603637695312,131.394422695826
"42",10000,0.5,3,250,1.94310851097107,126.339662852536
"43",10000,0.5,5,250,1.95585470199585,107.910461767919
"44",10000,0.5,7,250,1.96666665077209,108.935910366747
"45",10000,0.5,9,250,1.98120608329773,106.827464021931
"46",10000,0.5,11,250,2.02125864028931,102.57195920363
"47",10000,0.5,13,250,2.00038356781006,100.31008009251
"48",10000,0.5,15,250,2.05563445091248,101.381349854515
"49",10000,0.5,17,250,2.03091411590576,100.174008964649
"50",10000,0.5,19,250,2.04659814834595,99.483392145954
"51",10000,0.5,1,300,2.27946438789368,129.872499788498
"52",10000,0.5,3,300,2.33245148658752,123.021568052496
"53",10000,0.5,5,300,2.35970544815063,110.305043368124
"54",10000,0.5,7,300,2.34850993156433,108.374532216077
"55",10000,0.5,9,300,2.36310343742371,104.446947773942
"56",10000,0.5,11,300,2.37973003387451,102.027828206449
"57",10000,0.5,13,300,2.39969329833984,99.5949377505633
"58",10000,0.5,15,300,2.41472873687744,101.659166602276
"59",10000,0.5,17,300,2.44610471725464,100.642825325834
"60",10000,0.5,19,300,2.44986114501953,99.3295862768348
"61",10000,0.5,1,350,2.65775189399719,113.565721264735
"62",10000,0.5,3,350,2.75408005714417,124.479590346674
"63",10000,0.5,5,350,2.71841320991516,114.186142370017
"64",10000,0.5,7,350,2.73463048934937,108.46968599756
"65",10000,0.5,9,350,2.77920408248901,105.729812961586
"66",10000,0.5,11,350,2.80005421638489,102.055368019463
"67",10000,0.5,13,350,2.79151206016541,99.4338083910745
"68",10000,0.5,15,350,2.81687021255493,102.223095240033
"69",10000,0.5,17,350,2.83770594596863,100.204085615063
"70",10000,0.5,19,350,2.89220848083496,99.358276246388
"71",10000,0.5,1,400,3.03101477622986,180.769482047654
"72",10000,0.5,3,400,3.07941799163818,124.937951545299
"73",10000,0.5,5,400,3.16100273132324,111.457831330763
"74",10000,0.5,7,400,3.12678666114807,106.645582465042
"75",10000,0.5,9,400,3.15183758735657,106.577149094717
"76",10000,0.5,11,400,3.1760036945343,101.894570221695
"77",10000,0.5,13,400,3.19901928901672,100.074933368224
"78",10000,0.5,15,400,3.26565442085266,100.883532330334
"79",10000,0.5,17,400,3.24130754470825,99.5916619028023
"80",10000,0.5,19,400,3.27359743118286,99.1159632804815
"81",10000,0.5,1,450,3.41422944068909,182.79945981584
"82",10000,0.5,3,450,3.46640529632568,123.209057385506
"83",10000,0.5,5,450,3.54278860092163,110.312110151635
"84",10000,0.5,7,450,3.57335758209229,109.024205481214
"85",10000,0.5,9,450,3.54051918983459,103.904003943936
"86",10000,0.5,11,450,3.57030205726624,103.456162770527
"87",10000,0.5,13,450,3.61800541877747,100.612685770137
"88",10000,0.5,15,450,3.6878258228302,101.83564893107
"89",10000,0.5,17,450,3.65135364532471,100.091028078824
"90",10000,0.5,19,450,3.7121798992157,98.5317235235945
"91",10000,0.5,1,500,3.79756693840027,152.132764444051
"92",10000,0.5,3,500,3.85995087623596,123.725506407789
"93",10000,0.5,5,500,3.88476977348328,111.632894704262
"94",10000,0.5,7,500,3.92135806083679,107.690697282211
"95",10000,0.5,9,500,3.95147500038147,105.814952781107
"96",10000,0.5,11,500,3.99319972991943,103.628806919519
"97",10000,0.5,13,500,4.06974444389343,100.182898729333
"98",10000,0.5,15,500,4.0894389629364,101.308059681068
"99",10000,0.5,17,500,4.08717665672302,99.7332104765745
"100",10000,0.5,19,500,4.17687821388245,98.7088446649488
"101",10000,0.6,1,50,0.964033889770508,48.9141704616547
"102",10000,0.6,3,50,1.07235479354858,42.6532813988812
"103",10000,0.6,5,50,1.09203901290894,36.022464122052
"104",10000,0.6,7,50,1.12292494773865,34.4965629946419
"105",10000,0.6,9,50,1.16131024360657,33.9263122346695
"106",10000,0.6,11,50,1.19894604682922,31.8287320478957
"107",10000,0.6,13,50,1.24760327339172,32.0849936134302
"108",10000,0.6,15,50,1.29527668952942,32.2955951951796
"109",10000,0.6,17,50,1.33366150856018,31.7523538897926
"110",10000,0.6,19,50,1.37857179641724,31.986222459966
"111",10000,0.6,1,100,1.91281623840332,48.3698679756545
"112",10000,0.6,3,100,2.03183465003967,42.1293169787514
"113",10000,0.6,5,100,2.07325410842896,34.4460967766581
"114",10000,0.6,7,100,2.10655937194824,33.5677406443278
"115",10000,0.6,9,100,2.14142484664917,34.021323719302
"116",10000,0.6,11,100,2.19069247245789,31.6574984027006
"117",10000,0.6,13,100,2.24084300994873,32.199277066299
"118",10000,0.6,15,100,2.29103832244873,32.3950992133608
"119",10000,0.6,17,100,2.33449573516846,32.203977506882
"120",10000,0.6,19,100,2.40498676300049,32.2708560358366
"121",10000,0.6,1,150,2.86450924873352,52.4545508119175
"122",10000,0.6,3,150,2.99691200256348,39.9467561749503
"123",10000,0.6,5,150,3.04849572181702,34.6408581235082
"124",10000,0.6,7,150,3.10943150520325,34.2347331661554
"125",10000,0.6,9,150,3.16061606407166,33.2579606930666
"126",10000,0.6,11,150,3.18929362297058,32.0962585278669
"127",10000,0.6,13,150,3.29938468933105,31.9928462850996
"128",10000,0.6,15,150,3.29207963943481,32.5465679295571
"129",10000,0.6,17,150,3.34033269882202,32.1441485665923
"130",10000,0.6,19,150,3.39677028656006,32.2662614439316
"131",10000,0.6,1,200,3.80908436775208,50.7711797765163
"132",10000,0.6,3,200,4.01412296295166,39.6948075228773
"133",10000,0.6,5,200,4.02601723670959,34.3771451449097
"134",10000,0.6,7,200,4.08432807922363,33.6684133167926
"135",10000,0.6,9,200,4.14925637245178,32.8896660775014
"136",10000,0.6,11,200,4.22646284103394,32.1174427204008
"137",10000,0.6,13,200,4.3342146396637,31.9601658977887
"138",10000,0.6,15,200,4.35452461242676,32.5163393088425
"139",10000,0.6,17,200,4.39888639450073,32.4588378814029
"140",10000,0.6,19,200,4.44989252090454,32.29615691726
"141",10000,0.6,1,250,4.77020392417908,62.255796506028
"142",10000,0.6,3,250,4.93229875564575,40.4111801102337
"143",10000,0.6,5,250,5.00488867759705,34.4326871541975
"144",10000,0.6,7,250,5.08897957801819,33.8232965176948
"145",10000,0.6,9,250,5.16525511741638,33.4829798795162
"146",10000,0.6,11,250,5.23540802001953,32.1839446333667
"147",10000,0.6,13,250,5.30762314796448,31.8228145701738
"148",10000,0.6,15,250,5.38691501617432,32.2760309641817
"149",10000,0.6,17,250,5.46355414390564,31.8652393520066
"150",10000,0.6,19,250,5.59626259803772,32.2865033253324
"151",10000,0.6,1,300,5.70404019355774,50.3985622406334
"152",10000,0.6,3,300,5.89779706001282,39.626946856668
"153",10000,0.6,5,300,5.99028558731079,34.6200305577789
"154",10000,0.6,7,300,6.10522828102112,34.6042833911583
"155",10000,0.6,9,300,6.20079979896545,33.202763848969
"156",10000,0.6,11,300,6.27587118148804,32.3395782410809
"157",10000,0.6,13,300,6.41271657943726,32.0764560660879
"158",10000,0.6,15,300,6.49397263526916,32.509073929773
"159",10000,0.6,17,300,6.55346312522888,32.0056412702914
"160",10000,0.6,19,300,6.61018791198731,32.2122173783081
"161",10000,0.6,1,350,6.66868715286255,51.6890011565359
"162",10000,0.6,3,350,6.94821715354919,40.2519959655123
"163",10000,0.6,5,350,7.05924038887024,34.6821286469558
"164",10000,0.6,7,350,7.18018040657043,33.7361045227954
"165",10000,0.6,9,350,7.2909282207489,33.0072737746373
"166",10000,0.6,11,350,7.34469437599182,31.9725363267013
"167",10000,0.6,13,350,7.45411796569824,31.976920041708
"168",10000,0.6,15,350,7.58495192527771,32.4781862087825
"169",10000,0.6,17,350,7.74533333778381,31.6473797776043
"170",10000,0.6,19,350,7.86980543136597,32.188334757964
"171",10000,0.6,1,400,7.62743678092957,43.9835066430772
"172",10000,0.6,3,400,7.94258189201355,40.0557726453333
"173",10000,0.6,5,400,8.01544318199158,34.5579873230693
"174",10000,0.6,7,400,8.16085476875305,33.9187361708137
"175",10000,0.6,9,400,8.30106945037842,32.9521165296316
"176",10000,0.6,11,400,8.42419090270996,32.1757633903218
"177",10000,0.6,13,400,8.53917121887207,31.7230133948969
"178",10000,0.6,15,400,8.72552518844605,32.1338999957535
"179",10000,0.6,17,400,8.84986572265625,32.1232367161626
"180",10000,0.6,19,400,8.92160968780518,32.1615498388689
"181",10000,0.6,1,450,8.57827143669128,48.4456351391878
"182",10000,0.6,3,450,8.92975044250488,39.9983715143861
"183",10000,0.6,5,450,9.02413754463196,34.4592812086139
"184",10000,0.6,7,450,9.1700532913208,34.1567618961436
"185",10000,0.6,9,450,9.33025283813476,33.0141103803611
"186",10000,0.6,11,450,9.49265594482422,32.0040917134899
"187",10000,0.6,13,450,9.68284163475037,31.6002043228681
"188",10000,0.6,15,450,9.84578614234924,32.2103736534807
"189",10000,0.6,17,450,9.98088660240173,31.8466630229987
"190",10000,0.6,19,450,10.1735655784607,32.3226738758861
"191",10000,0.6,1,500,9.54216260910034,47.9709205675812
