"","n","gamma","s","ntree","time","MSE"
"1",10000,0.5,1,50,0.401538228988647,604.698533574272
"2",10000,0.5,3,50,0.426483821868896,579.720310438058
"3",10000,0.5,5,50,0.436895513534546,545.485623589816
"4",10000,0.5,7,50,0.439198207855225,540.80350584003
"5",10000,0.5,9,50,0.441592693328857,539.407255525917
"6",10000,0.5,11,50,0.464800691604614,531.19595218885
"7",10000,0.5,13,50,0.454431104660034,532.432095280241
"8",10000,0.5,15,50,0.462258768081665,526.678034014325
"9",10000,0.5,17,50,0.462546634674072,523.210673156107
"10",10000,0.5,19,50,0.469260549545288,522.776336977402
"11",10000,0.5,1,100,0.779925346374512,614.048399464848
"12",10000,0.5,3,100,0.807656955718994,567.604543080139
"13",10000,0.5,5,100,0.827585220336914,542.446881459096
"14",10000,0.5,7,100,0.818668794631958,545.810437685722
"15",10000,0.5,9,100,0.82498459815979,533.298074415398
"16",10000,0.5,11,100,0.839573049545288,533.921801726672
"17",10000,0.5,13,100,0.837124109268188,529.394755963253
"18",10000,0.5,15,100,0.843891334533691,526.876388768976
"19",10000,0.5,17,100,0.849433135986328,528.138237902307
"20",10000,0.5,19,100,0.856490135192871,528.589207139535
"21",10000,0.5,1,150,1.14954476356506,597.924753724798
"22",10000,0.5,3,150,1.18712477684021,569.49945925432
"23",10000,0.5,5,150,1.19670886993408,546.841347317999
"24",10000,0.5,7,150,1.20143804550171,544.11298980724
"25",10000,0.5,9,150,1.21193771362305,529.96101332088
"26",10000,0.5,11,150,1.23436818122864,532.308752341557
"27",10000,0.5,13,150,1.27797684669495,526.337278395696
"28",10000,0.5,15,150,1.23138465881348,528.236164530394
"29",10000,0.5,17,150,1.23466868400574,529.124064660763
"30",10000,0.5,19,150,1.27661781311035,526.162197583443
"31",10000,0.5,1,200,1.53931317329407,629.562655995455
"32",10000,0.5,3,200,1.56881561279297,568.331413667048
"33",10000,0.5,5,200,1.59891476631165,543.849639913375
"34",10000,0.5,7,200,1.58641014099121,537.382209691761
"35",10000,0.5,9,200,1.59130744934082,532.854585846426
"36",10000,0.5,11,200,1.61861243247986,532.908563157066
"37",10000,0.5,13,200,1.60437769889832,528.597532598848
"38",10000,0.5,15,200,1.61567287445068,529.742329271951
"39",10000,0.5,17,200,1.62752342224121,526.636981312923
"40",10000,0.5,19,200,1.64236769676209,528.203248226691
"41",10000,0.5,1,250,1.91233863830566,616.748717370383
"42",10000,0.5,3,250,1.94970607757568,573.785857361514
"43",10000,0.5,5,250,1.99864072799683,543.103825350538
"44",10000,0.5,7,250,1.9699866771698,538.342786580068
"45",10000,0.5,9,250,1.97749962806702,532.850384541862
"46",10000,0.5,11,250,2.04129586219788,531.377618512874
"47",10000,0.5,13,250,1.99757566452026,530.718994357582
"48",10000,0.5,15,250,2.01161060333252,527.52169878456
"49",10000,0.5,17,250,2.01357007026672,528.303362034496
"50",10000,0.5,19,250,2.02652883529663,527.838904443069
"51",10000,0.5,1,300,2.28219590187073,608.152073827288
"52",10000,0.5,3,300,2.37296299934387,573.550833225333
"53",10000,0.5,5,300,2.3402156829834,542.361423090322
"54",10000,0.5,7,300,2.3502170085907,540.88358169385
"55",10000,0.5,9,300,2.4162013053894,535.070234307324
"56",10000,0.5,11,300,2.37776927947998,531.855752879227
"57",10000,0.5,13,300,2.42939743995667,529.934089378615
"58",10000,0.5,15,300,2.40338044166565,527.997344477005
"59",10000,0.5,17,300,2.4382408618927,525.609428447141
"60",10000,0.5,19,300,2.45758328437805,527.385682033076
"61",10000,0.5,1,350,2.6823184967041,608.647417648318
"62",10000,0.5,3,350,2.7069019317627,572.911974507578
"63",10000,0.5,5,350,2.72468295097351,547.572535970771
"64",10000,0.5,7,350,2.74530081748962,541.648881358036
"65",10000,0.5,9,350,2.75468368530273,534.465345384784
"66",10000,0.5,11,350,2.77040147781372,531.482864418373
"67",10000,0.5,13,350,2.82013778686523,530.046298156877
"68",10000,0.5,15,350,2.84482288360596,529.596832152763
"69",10000,0.5,17,350,2.8164888381958,526.569881786428
"70",10000,0.5,19,350,2.87293086051941,523.762919406098
"71",10000,0.5,1,400,3.02238564491272,617.154892115383
"72",10000,0.5,3,400,3.0923041343689,573.185535453821
"73",10000,0.5,5,400,3.1127281665802,543.363121493085
"74",10000,0.5,7,400,3.14092788696289,540.225018558351
"75",10000,0.5,9,400,3.20364737510681,534.709498442248
"76",10000,0.5,11,400,3.1578875541687,532.802497853825
"77",10000,0.5,13,400,3.19160385131836,530.405617152971
"78",10000,0.5,15,400,3.24682993888855,528.324008573775
"79",10000,0.5,17,400,3.27703142166138,526.838771662621
"80",10000,0.5,19,400,3.25790243148804,527.439160919479
"81",10000,0.5,1,450,3.42526521682739,618.660357874671
"82",10000,0.5,3,450,3.48082437515259,574.088717959053
"83",10000,0.5,5,450,3.49728870391846,541.451415377564
"84",10000,0.5,7,450,3.51837778091431,538.896514057774
"85",10000,0.5,9,450,3.54018092155457,532.736470907303
"86",10000,0.5,11,450,3.56329312324524,527.997083181402
"87",10000,0.5,13,450,3.59361300468445,530.174762748096
"88",10000,0.5,15,450,3.61260395050049,530.152654855075
"89",10000,0.5,17,450,3.67398195266724,527.498572570561
"90",10000,0.5,19,450,3.71375141143799,526.545133192496
"91",10000,0.5,1,500,3.8001428604126,625.122351533474
"92",10000,0.5,3,500,3.86337823867798,570.908140033205
"93",10000,0.5,5,500,3.89565243721008,542.513250382147
"94",10000,0.5,7,500,3.93654727935791,541.000925145016
"95",10000,0.5,9,500,3.98997383117676,531.647614210127
"96",10000,0.5,11,500,3.98466229438782,530.626250880145
"97",10000,0.5,13,500,3.99440045356751,529.869667007005
"98",10000,0.5,15,500,4.02436380386353,528.48305154855
"99",10000,0.5,17,500,4.05268969535828,525.519642862135
"100",10000,0.5,19,500,4.07817759513855,526.608486717803
"101",10000,0.6,1,50,0.968510675430298,408.594564642082
"102",10000,0.6,3,50,1.05110445022583,392.306168090087
"103",10000,0.6,5,50,1.07909455299377,377.715183047389
"104",10000,0.6,7,50,1.10470175743103,384.990965865287
"105",10000,0.6,9,50,1.13974261283875,373.632287721987
"106",10000,0.6,11,50,1.16805896759033,374.959098441355
"107",10000,0.6,13,50,1.20193886756897,367.282018415346
"108",10000,0.6,15,50,1.22453107833862,367.2285714791
"109",10000,0.6,17,50,1.26418099403381,363.528199517432
"110",10000,0.6,19,50,1.33264608383179,365.911097845982
"111",10000,0.6,1,100,1.9190598487854,431.512055841194
"112",10000,0.6,3,100,2.0255603313446,396.519997043017
"113",10000,0.6,5,100,2.04540572166443,383.150427651153
"114",10000,0.6,7,100,2.06975884437561,371.506717594866
"115",10000,0.6,9,100,2.10754766464233,369.608651943902
