"","n","gamma","s","ntree","time","MSE"
"1",10000,0.5,1,50,0.398125553131104,420.853837918641
"2",10000,0.5,3,50,0.426658868789673,357.632343966776
"3",10000,0.5,5,50,0.434499979019165,345.563893397427
"4",10000,0.5,7,50,0.434258413314819,328.651962367809
"5",10000,0.5,9,50,0.440506792068481,333.889266323891
"6",10000,0.5,11,50,0.446480846405029,325.934310999719
"7",10000,0.5,13,50,0.468987464904785,327.692263033438
"8",10000,0.5,15,50,0.458702659606934,329.492905278471
"9",10000,0.5,17,50,0.464540672302246,323.243140635029
"10",10000,0.5,19,50,0.479198360443115,329.681409028679
"11",10000,0.5,1,100,0.770508813858032,412.733870848906
"12",10000,0.5,3,100,0.806118631362915,355.211905389786
"13",10000,0.5,5,100,0.813861274719238,337.996352073283
"14",10000,0.5,7,100,0.817361497879028,331.18481146441
"15",10000,0.5,9,100,0.824326801300049,334.078028484451
"16",10000,0.5,11,100,0.830441284179688,329.153474507889
"17",10000,0.5,13,100,0.838734340667725,330.220674759208
"18",10000,0.5,15,100,0.851922035217285,331.662213213709
"19",10000,0.5,17,100,0.846425580978394,330.436133162417
"20",10000,0.5,19,100,0.850562810897827,328.533071556642
"21",10000,0.5,1,150,1.14791045188904,423.211380743667
"22",10000,0.5,3,150,1.17854051589966,354.896669488522
"23",10000,0.5,5,150,1.18980188369751,339.010221386568
"24",10000,0.5,7,150,1.19697856903076,329.208571990626
"25",10000,0.5,9,150,1.20546703338623,330.469394739845
"26",10000,0.5,11,150,1.2131422996521,328.816460171176
"27",10000,0.5,13,150,1.2171534538269,328.954312423682
"28",10000,0.5,15,150,1.22818388938904,330.244627997415
"29",10000,0.5,17,150,1.23514513969421,329.277171019224
"30",10000,0.5,19,150,1.25902090072632,328.577926212255
"31",10000,0.5,1,200,1.52392830848694,401.874040249722
"32",10000,0.5,3,200,1.56333837509155,356.691323203634
"33",10000,0.5,5,200,1.5762234210968,342.43652252783
"34",10000,0.5,7,200,1.58334264755249,329.697936031816
"35",10000,0.5,9,200,1.63766040802002,328.796124578684
"36",10000,0.5,11,200,1.59518065452576,328.38514233183
"37",10000,0.5,13,200,1.60769982337952,327.800476238924
"38",10000,0.5,15,200,1.61412901878357,330.415783324548
"39",10000,0.5,17,200,1.62436943054199,328.460066171517
"40",10000,0.5,19,200,1.63331146240234,329.909728140097
"41",10000,0.5,1,250,1.91297678947449,438.220549929057
"42",10000,0.5,3,250,1.95273056030273,349.985172963595
"43",10000,0.5,5,250,1.97844185829163,336.668449374396
"44",10000,0.5,7,250,1.95971837043762,327.278678941752
"45",10000,0.5,9,250,1.96716022491455,331.898526023947
"46",10000,0.5,11,250,1.98578777313232,330.376479999684
"47",10000,0.5,13,250,2.03152322769165,328.568806619581
"48",10000,0.5,15,250,1.99914226531982,330.149960528009
"49",10000,0.5,17,250,2.01801991462708,328.213950023208
"50",10000,0.5,19,250,2.03188939094543,327.054865609129
"51",10000,0.5,1,300,2.27662281990051,427.251485081424
"52",10000,0.5,3,300,2.37746710777283,351.859174974621
"53",10000,0.5,5,300,2.33444547653198,341.038959571829
"54",10000,0.5,7,300,2.35091910362244,328.790228880717
"55",10000,0.5,9,300,2.35917043685913,328.80579667819
"56",10000,0.5,11,300,2.37430319786072,328.214910627145
"57",10000,0.5,13,300,2.44418640136719,329.040803054262
"58",10000,0.5,15,300,2.40099964141846,330.383319846119
"59",10000,0.5,17,300,2.41160297393799,328.786996070072
"60",10000,0.5,19,300,2.45178508758545,329.900091909485
"61",10000,0.5,1,350,2.67269401550293,445.897243605499
"62",10000,0.5,3,350,2.69693241119385,352.984695403075
"63",10000,0.5,5,350,2.76813135147095,336.964093646215
"64",10000,0.5,7,350,2.78472394943237,326.783771069846
"65",10000,0.5,9,350,2.74606418609619,330.235033988407
"66",10000,0.5,11,350,2.75771532058716,327.577757822385
"67",10000,0.5,13,350,2.77268266677856,328.209381002345
"68",10000,0.5,15,350,2.85195279121399,328.26227273881
"69",10000,0.5,17,350,2.8197630405426,328.251005080253
"70",10000,0.5,19,350,2.87214088439941,329.530600627515
"71",10000,0.5,1,400,3.0392493724823,438.808421480165
"72",10000,0.5,3,400,3.13351850509644,350.289304551357
"73",10000,0.5,5,400,3.09898047447205,339.558019080038
"74",10000,0.5,7,400,3.11444873809814,329.242295397725
"75",10000,0.5,9,400,3.13035368919373,331.19579638219
"76",10000,0.5,11,400,3.15518050193787,328.530097317333
"77",10000,0.5,13,400,3.17363619804382,327.71480937447
"78",10000,0.5,15,400,3.22737631797791,330.154010787509
"79",10000,0.5,17,400,3.26511149406433,329.881855219891
"80",10000,0.5,19,400,3.28781781196594,330.683142494746
"81",10000,0.5,1,450,3.42275171279907,448.57771108479
"82",10000,0.5,3,450,3.52102136611938,349.198942277094
"83",10000,0.5,5,450,3.4852744102478,339.7643310648
"84",10000,0.5,7,450,3.51275219917297,329.733542473363
"85",10000,0.5,9,450,3.5338996887207,330.281400964284
"86",10000,0.5,11,450,3.62872862815857,328.620494734339
"87",10000,0.5,13,450,3.60385971069336,328.905934940019
"88",10000,0.5,15,450,3.61610541343689,331.016958458605
"89",10000,0.5,17,450,3.64285745620728,327.675256807135
"90",10000,0.5,19,450,3.73227772712708,329.533282857487
"91",10000,0.5,1,500,3.81825380325317,415.055952591
"92",10000,0.5,3,500,3.85351605415344,351.377137943278
"93",10000,0.5,5,500,3.87875699996948,340.212549712955
"94",10000,0.5,7,500,3.96517238616943,329.059578620059
"95",10000,0.5,9,500,3.99427614212036,329.53041070301
"96",10000,0.5,11,500,3.98491902351379,327.285673012119
"97",10000,0.5,13,500,4.00228004455566,328.475672157845
"98",10000,0.5,15,500,4.03219509124756,329.469011871611
"99",10000,0.5,17,500,4.07271332740784,328.303738758972
"100",10000,0.5,19,500,4.10713057518005,329.209864714347
"101",10000,0.6,1,50,0.965297317504883,287.469255300247
"102",10000,0.6,3,50,1.04629611968994,264.625718788473
"103",10000,0.6,5,50,1.07820110321045,249.234671036498
"104",10000,0.6,7,50,1.10671577453613,241.107771021249
"105",10000,0.6,9,50,1.14717903137207,240.876179756308
"106",10000,0.6,11,50,1.18617811203003,238.384142683412
